f2b2 icon-wrenchalt
f353 icon-xbox
f345 icon-xmen
f151 icon-yahoo
00a5 icon-yen
f25d icon-yenalt
262f icon-yinyang
f142 icon-youtube
f3b8 icon-zelda
f0ac icon-zikula
f116 icon-zip
f3b4 icon-zodiac-aquarius
f3aa icon-zodiac-aries
f3ad icon-zodiac-cancer
f3b3 icon-zodiac-capricorn
f3ac icon-zodiac-gemini
f3ae icon-zodiac-leo
f3b0 icon-zodiac-libra
f3b5 icon-zodiac-pisces
f3b2 icon-zodiac-sagitarius
f3b1 icon-zodiac-scorpio
f3ab icon-zodiac-taurus
f3af icon-zodiac-virgo
f320 icon-zoom-in
f321 icon-zoom-out
f34e icon-vk
f584 icon-bitcoin
f4ca icon-rouble
f48c icon-phpnuke
f48d icon-modx
f48e icon-eoneohseven
f48f icon-subrion
f490 icon-typothree
f491 icon-tikiwiki
f492 icon-pligg
f493 icon-pyrocms
f494 icon-mambo
f495 icon-contao
f496 icon-crackedegg
f497 icon-coffeecupalt
f498 icon-reademailalt
f499 icon-train
f49a icon-shoebox
f49b icon-bathtub
f49c icon-ninegag
f49d icon-pebble
f49e icon-musicthree
f49f icon-stairsup
f4a0 icon-stairsdown
f4a1 icon-bookalt
f4a2 icon-programclose
f4a3 icon-programok
f4a4 icon-splitalt
f4a5 icon-solarsystem
f4a6 icon-honeycomb
f4a7 icon-tools
f4a8 icon-xoops
